userId|John Wick|Dunkirk|Star Wars: The Last Jedi (With Bonus Content)|Kong: Skull Island|Blade Runner 2049|Guardians of the Galaxy Vol. 2 (Theatrical)|Get Out|Alien: Covenant|Spider-Man: Homecoming|Split|Kingsman: The Golden Circle|Transformers: The Last Knight|Baby Driver|Baywatch|The Mummy (2017)|The Shack|Wonder Woman|The Shape of Water|The Boss Baby|Fifty Shades Darker (Unrated Version)|Murder on the Orient Express|Pirates of the Caribbean: Dead Men Tell No Tales (Theatrical Version)|The LEGO Batman Movie|Beauty and the Beast (2017) (Theatrical Version)|Three Billboards Outside Ebbing, Missouri|A Dog's Purpose|War for the Planet of the Apes|The Emoji Movie|Girls Trip|Darkest Hour|Jumanji: Welcome To The Jungle|Daddy's Home 2|Justice League|A Bad Moms Christmas|Annabelle Creation|Captain Underpants: The First Epic Movie|Despicable Me 3|Thor: Ragnarok (Theatrical Version)|Happy Death Day|Pitch Perfect 3|Cars 3 (Theatrical)|Wonder|The LEGO NINJAGO Movie|The Post|Coco (Theatrical Version)|Ferdinand |The Greatest Showman|﻿"Title"
Joe|4.0|0|1.0|1.0|0|4.0|0|2.0|0|0|0|4.0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Jon|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
amanda|0|0|0|0|0|0|1.0|0|0|0|0|1.0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Patrick|0|0|1.0|4.0|0|3.0|0|0|3.0|4.0|0|0|3.0|0|0|4.0|4.0|0|0|0|4.0|0|0|4.0|0|4.0|0|0|0|0|4.0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0
Kurt|0|0|0|0|0|1.0|0|0|0|0|4.0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
dino458|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0
Alicia|4.0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Def Billy|0|3.0|1.0|0|0|0|3.0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
MSEV|0|0|0|0|0|0|0|0|2.0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Melissa LaCour|0|0|0|2.0|0|4.0|0|0|0|0|3.0|3.0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Reviewer99|0|1.0|0|1.0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Humberto|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0
RVNut|0|2.0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Avid Reader|0|2.0|0|0|0|0|0|0|0|0|3.0|1.0|0|0|3.0|0|3.0|2.0|0|0|0|3.0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Keith C.|0|1.0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0
Pantoner|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|1.0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Daniel|0|0|0|0|0|2.0|0|4.0|1.0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|1.0|4.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0
Zach|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Anonymous|4.0|1.0|1.0|1.0|1.0|0|0|1.0|4.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Bucky55|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Brandon|4.0|0|0|0|2.0|0|1.0|0|0|0|0|1.0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0
kahlanne|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|4.0|0|0|4.0|0|0|0|0|0|0|0|0|3.0|2.0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
NH|0|0|0|0|2.0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Becca|0|0|0|0|0|0|3.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Alex|0|1.0|4.0|0|1.0|0|0|3.0|3.0|0|0|1.0|1.0|2.0|0|0|0|0|0|2.0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|4.0|1.0|0|0|0|0
terry|0|4.0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Mary|3.0|0|0|0|0|0|0|4.0|0|0|2.0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
adam|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0
David M.|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|2.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Noah|0|1.0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0
Charlie|0|0|0|0|0|4.0|1.0|0|0|4.0|0|0|4.0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Jared|4.0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Elements|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0
Otis|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|3.0|4.0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Tiffany|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|1.0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0
DSac|0|0|0|0|0|0|0|0|0|0|0|4.0|0|4.0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Vargr|0|0|1.0|4.0|0|3.0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
James S|0|0|0|0|3.0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Michael|4.0|4.0|2.0|4.0|0|0|1.0|0|0|0|1.0|0|0|0|0|0|0|0|0|1.0|0|3.0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Ross|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Allison|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|4.0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0
Digital Dreamer|0|0|0|0|0|0|4.0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0
Gryphonisle|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Economist|4.0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
David Johnson|0|3.0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Woodsy Niles|0|0|0|4.0|4.0|0|0|0|3.0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
RYAN DALLE-TEZZE|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|4.0|4.0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0
M|0|0|0|0|0|0|3.0|0|0|0|1.0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Jessica|4.0|1.0|0|0|0|0|0|0|0|3.0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|3.0|0|0|0|0|0|0|3.0|0|4.0|0|0|0|0|0|0|0
Robert Blenheim|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0
The Goobber|0|0|1.0|0|0|2.0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Michael Gentil|0|0|0|0|0|0|0|0|0|2.0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1.0|0|0|0|0
Annie|0|2.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|4.0|0|0|0|0|0|0|1.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Neil|0|0|1.0|0|0|0|1.0|0|0|1.0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Todd|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|4.0|0|0|0|0|0|0|0|0|0|0|3.0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
